Command_Add,הוסף
Command_Apply,החל
Command_AutorImportFromPda,ייבא מהמסופון - אוטומטי
Command_BranchPostAddBranch,הוסף סניף
Command_BranchPostAddInventor,הוסף ספירה
Command_BranchPostBranchDashboard,מסך מרכזי - סניף
Command_BranchPostEditBranch,ערוך סניף
Command_BranchPostHomeDashboard,עמוד הבית
Command_BranchPostMainDashboard,מסך ספירה ראשי
Command_BringForward,הבא לקידמה
Command_Browse,עיין
Command_Cancel,בטל
Command_Clear,נקה
Command_Clone,שכפל
Command_Close,סגור
Command_Copy,העתק
Command_Create,צור
Command_CustomerPostAddBranch,הוסף סניף
Command_CustomerPostAddCustomer,הוסף לקוח
Command_CustomerPostCustomerDashboard,מסך מרכזי - לקוח
Command_CustomerPostEditCustomer,ערוך לקוח
Command_CustomerPostHomeDashboard,עמוד הבית
Command_CustomerPostMainDashboard,מסך עבודה - ספירה
Command_Delete,מחק
Command_DeleteAll,מחק הכל
Command_DeleteAllCheckSelect,מחק מסומנים
Command_DeleteAllWithoutChild,מחק הכל - ללא בנים
Command_DeleteNoneInCatalog,מחיקת פריטים שאינם נמצאים בקטלוג
Command_DeleteWithoutChild,מחק ללא בנים
Command_DevicePDAStatistic,סטטיסטיקת מסופונים
Command_DocumentHeaderStatistic,כותרת מסמך
Command_Down,למטה
Command_Edit,ערוך
Command_Export,ייצא
Command_Filter,מסנן
Command_Find,מצא
Command_Import,ייבא
Command_Info,מידע
Command_InventorPostEditInventor,ערוך ספירה
Command_InventorPostHomeDashboard,עמוד הבית
Command_InventorPostInventorDashboard,מסך מרכז - ספירה
Command_InventorPostInventorForm,מסך ספירה
Command_InventorPostMainDashboard,מסך עבודה - ספירה
Command_More,עוד...
Command_MultiAdd,הוספה מרובה
Command_OK,אשר
Command_OpenInExplorer,פתח באמצעות סייר
Command_OpenScript,פתח תסריט
Command_Pack,אריזה
Command_Planogram,פלנוגרמה
Command_Print,הדפס
Command_Print_ByLocationCode_Report,הדפס דוחות עבור מיקום
Command_Print_ByTag_Report,הדפסת דוחות עבור מכולה
Command_Print_Report,הדפס דוח
Command_RefreshStatus,רענן סטאטוס
Command_Rename,שנה שם
Command_RepairFromDb,תקן מתוך בסיס הנתונים
Command_Report,דוח
Command_Reset,אפס
Command_ResetErrorStatus,אפס סטאטוס שגיאות
Command_Run,הפעל
Command_Save,שמור
Command_SaveScript,שמור תסריט
Command_Search,חפש
Command_Select,בחר...
Command_SendBackward,העבר לרקע
Command_SessionStatistic,פריקה
Command_SetAsDefault,קבע כברירת מחדל
Command_Statistic,סטטיסטיקה
Command_Unpack,עדכון נתונים מאריזה
Command_Up,למעלה
Command_Update,עדכן
Command_UpdateCatalog,עדכן יתרה
Command_UpdateInventorDateTime,עדכן
Command_Validate,אמת את הנתון
Command_View,הצג
Command_ViewLog,צפה בלוג
Command_WorkerStatistic,עובדים
Common_FromImportToGrid,הצג נתונים כטבלה
Constant_Barcode,ברקוד
Constant_Code,קוד:
Constant_ERP,ERP
Constant_Makat,מק"ט
Constant_Number,מספר
Constant_Path,נתיב:
Constant_Product,פריט
Control_Pagination_Of,מתוך {0}
Domain_Adapter,מתאם
Domain_Branch,סניף
Domain_Customer,לקוח
Domain_DevicePDA,מסמכי מסופון
Domain_Family,משפחה
Domain_Inventor,ספירה
Domain_InventProduct,פריט שנספר
Domain_InventProductAnalyze,מנתח ספירת פריט
Domain_Itur,איתור
Domain_Itur_NAME,איתור
Domain_Location,אתר
Domain_Product,מוצר
Domain_Report,דו"ח
Domain_Section,מחלקה
Domain_StatusGroup,סטאטוס
Domain_Supplier,ספק
Domain_Tag,תג
Domain_Template,תבנית
Property_Branch_Code,קוד סניף
Property_Branch_CodeERP,קוד ERP
