Property_Inventor_InventorCode,Inventor Code
Lable_SurveyPrompt,Please take our ({0}) and tell us what you think
Line_7,UpdateVer
Bit_Branch_CodeEmpty,Code can not be Empty
Bit_Branch_CodeErpEmpty,Code ERP can not be Empty
Bit_Branch_CodeErpFormat,Unacceptable symbols
Bit_Branch_CodeFormat,Unacceptable symbols
Bit_Branch_CodeLength,Code Length must be in range between 3 and 10
Bit_Branch_CodeLocalEmpty,Code Local can not be empty
Bit_Branch_CodeLocalFormat,Unacceptable symbols
Bit_Branch_CodeUnique,Branch with such Code already exists
Bit_Branch_ContactPersonFormat,Unacceptable symbols
Bit_Customer_CodeEmpty,Code can not be Empty
Bit_Customer_CodeFormat,Unacceptable symbols
Bit_Customer_CodeLength,Code Length must be in range between 3 and 10
Bit_Customer_CodeUnique,Customer with such code already exists
Bit_Customer_ContactPersonFormat,Unacceptable symbols
Bit_Customer_PicFileInvalid,File is not valid image
Bit_Customer_PicFileMissed,File doesn't exist
Bit_FKCodeIsEmpty_BarcodeOrMakatIsEmpty,Barcode or Makat Is Empty
Bit_FKCodeIsEmpty_BarcodeOrMakatIsNotExistsInCatalog,Barcode or Makat Is Not Exists In Catalog 
Bit_FKCodeIsEmpty_DocumentCode,DocumentCode Is Empty
Bit_FKCodeIsEmpty_General,FK Code Is Empty
Bit_FKCodeIsEmpty_IturCode,IturCode Is Empty
Bit_FKCodeIsEmpty_LocationCode,LocationCode Is Empty
Bit_HebrewCharsAreNotAllowed,Hebrew chars are not allowed
Bit_InvalidFormat_General,Invalid Format
Bit_InvalidValue_Code,Invalid Code Value
Bit_InvalidValue_DocumentCode,Invalid DocumentCode Value
Bit_InvalidValue_Email,Invalid Email Value
Bit_InvalidValue_Fax,Invalid Fax Value
Bit_InvalidValue_General,Invalid Value
Bit_InvalidValue_Name,Invalid Name Value
Bit_InvalidValue_Phone,Invalid Phone Value
Bit_InvalidValue_Prefix,Invalid Prefix Value. {0} Prefix can not be Empty. {1} It Is Expected Numeric String {2} 4 characters maximum
Bit_InventProduct_MakatFormat,Unacceptable symbols
Bit_InventProduct_MakatIsEmpty,Can not be Empty
Bit_InventProduct_QuantityEditFormat,Wrong quantity edit format
Bit_InventProduct_QuantityOriginalFormat,QuantityOriginalFormat
Bit_IsEmpty_Barcode,Barcode can not be Empty
Bit_IsEmpty_Code,Code can not be Empty
Bit_IsEmpty_DocumentCode,DocumentCode can not be Empty
Bit_IsEmpty_General,Code can not be Empty
Bit_IsEmpty_Makat,Makat can not be Empty
Bit_IsEmpty_Name,Name can not be Empty
Bit_IsEmpty_Number,Number can not be Empty
Bit_IsEmpty_Prefix,Prefix or Suffix can not be Empty
Bit_Location_CodeEmpty,Name can not be empty
Bit_Location_CodeExist,Location with such code already exists
Bit_MessageTypeCaption_Error,Error
Bit_MessageTypeCaption_ErrorDB,ErrorDB
Bit_MessageTypeCaption_Fatal,Fatal
Bit_MessageTypeCaption_SimpleTrace,Simple Trace
Bit_MessageTypeCaption_Trace,Trace
Bit_MessageTypeCaption_TraceParser,TraceParser
Bit_MessageTypeCaption_TraceParserResult,TraceParserResult
Bit_MessageTypeCaption_TraceProvider,TraceProvider
Bit_MessageTypeCaption_TraceProviderResult,TraceProviderResult
Bit_MessageTypeCaption_TraceRepository,TraceRepository
Bit_MessageTypeCaption_TraceRepositoryResult,TraceRepositoryResult
Bit_MessageTypeCaption_Warning,Warning
Bit_MessageTypeCaption_WarningParser,WarningParser
Bit_MessageTypeCaption_WarningRepository,WarningRepository
Bit_NoError_General,
Bit_Product_MakatFormat,Unacceptable symbols
Bit_Product_MakatIsEmpty,Can not be Empty
Bit_Product_MakatIsNotUnique,Makat is not unique
Bit_Product_PriceBuyFormat,Incorrect format
Bit_Product_PriceSaleFormat,Incorrect format
Bit_SameCodeExist_Document,Document with the Same DocumentCode Exist in DB
Bit_SameCodeExist_General,Object with the Same Code Exist in DB
Bit_SameCodeExist_Itur,Itur with the Same Code Exist in DB
Bit_SameCodeExist_Location,Location with the Same Code Exist in DB
Bit_SameCodeExist_ProductBarcode,Product with the Same Barcode Exist in DB
Bit_SameCodeExist_ProductMakat,Product with the Same Makat Exist in DB
Bit_Validate_Empty,Can't be empty
Bit_Validate_Format,Wrong format
Bit_ValidateErrorMessage_BarcodeExistInDB,Same Barcode [{0}] Exist in DB
Bit_ValidateErrorMessage_BarcodeIsEmpty,Barcode : [{0}] Is Empty
Bit_ValidateErrorMessage_BarcodeNotExistInDB,Barcode [{0}] Exist in Data Row, but Not Exist in Catalog as Barcode
Bit_ValidateErrorMessage_DocumentCodeExistInDB,Document with Same Code [{0}] Exist in DB
Bit_ValidateErrorMessage_Error,Parser Error : 
Bit_ValidateErrorMessage_FileIsEmpty,File : [{0}] Is Empty or Is not Exist
Bit_ValidateErrorMessage_FileIsNotExist,File : [{0}] Is not Exist
Bit_ValidateErrorMessage_IturCodeExistInDB,Itur with Same Code [{0}] Exist in DB
Bit_ValidateErrorMessage_IturCodeNotExistInDB,IturCode [{0}] Exist in Data Row, but Not Exist in Itur as Code
Bit_ValidateErrorMessage_LocationCodeExistInDB,Location with Same Code [{0}] Exist in DB
Bit_ValidateErrorMessage_LocationCodeNotExistInDB,LocationCode [{0}] Exist in Data Row, but Not Exist in Location as Code
Bit_ValidateErrorMessage_MakatAndBarcodeNotExistInDB,Barcode (or Makat) [{0}] Exist in Data Row, but Not Exist in Catalog
Bit_ValidateErrorMessage_MakatExistInDB,Same Makat [{0}] Exist in DB
Bit_ValidateErrorMessage_MakatIsEmpty,Makat : [{0}] Is Empty
Bit_ValidateErrorMessage_MakatNotExistInDB,Makat [{0}] Exist in Data Row, but Not Exist in Catalog as Makat
Bit_ValidateErrorMessage_NoExpectedLengthString,Length of Input String does not match the Expected Length : [{0}]
Bit_ValidateErrorMessage_NoExpectedMarker,Data Row no Expected Marker : [{0}]
Bit_ValidateErrorMessage_NoHeaderLine,There Is no Header Line or not the Marker Header in the First Line of File :  [{0}]
Bit_ValidateErrorMessage_NoMatchNumberSubstrings,Does not Match the Number of Substrings in the Data Row with the Expected :  [{0}]
Bit_ValidateErrorMessage_NoOneDataRow,There Is no One Data Row in File : [{0}]
Bit_ValidateErrorMessage_ParentMakatIsEmpty,Parent Makat : [{0}] Is Empty
Bit_ValidateErrorMessage_SessionCodeExistInDB,Session with Same Code [{0}] Exist in DB
Bit_ValidateErrorMessage_Warning,Parser Warning : 
Command_Accept,Accept
Command_Add,Add
Command_AlignBottom,Bottom
Command_AlignLeft,Left
Command_AlignRight,Right
Command_AlignSameHeight,Same Height
Command_AlignSameWidth,Same Width
Command_AlignTop,Top
Command_Apply,Apply
Command_AutorImportFromPda,Auto Import from PDA
Command_BranchPostAddBranch,Create new Branch
Command_BranchPostAddInventor,Create new Inventor
Command_BranchPostBranchDashboard,Branch Dashboard
Command_BranchPostEditBranch,Edit branch
Command_BranchPostHomeDashboard,Home Dashboard
Command_BranchPostMainDashboard,Main Dashboard
Command_BringForward,Bring to Front
Command_Browse,Browse
Command_BuildNewInventor,Build New Inventory
Command_BuildNewProcess,Add New Process
Command_Cancel,Cancel
Command_ChangeCurrentInventor,Change Current Inventor
Command_Clear,Clear
Command_ClearByConfig,Clear
Command_ClearItemsFromItur,Clear
Command_Clone,Clone
Command_Close,Close
Command_Compare,Compare...
Command_ContinueCurrentInventor,Continue Inventory which is In Process
Command_Copy,Copy
Command_Create,Create
Command_CreateAndNavigateToProcessInventor,Create New Inventor >>
Command_CreateNewInventor,Create New Inventor
Command_CurrentInventor,Current Inventor
Command_CustomerPostAddBranch,Create new Branch
Command_CustomerPostAddCustomer,Create new Customer
